question,answer
Who was President when the first Peanuts cartoon was published?,Harry Truman
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,Sinclair Lewis
Where in England was Dame Judi Dench born?,York
"William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?",Beer Cans
In which decade did Billboard magazine first publish and American hit chart?,30s
Where was horse racing's Breeders' Cup held in 1988?,"Churchill Downs, Louisville, Kentucky"
From which country did Angola achieve independence in 1975?,Portugal
Which city does David Soul come from?,Chicago
Who won Super Bowl XX?,Chicago Bears
Which was the first European country to abolish capital punishment?,Norway
What first appeared in Ohio in 1914 to affect transport?,First Traffic Lights
In what field did the brother of the author of The Turn of the Screw find fame?,Psychology (William James was the brother of Henry)
In which country did he widespread use of ISDN begin in 1988?,Japan
What is Bruce Willis' real first name?,Walter
Which William wrote the novel Lord Of The Flies?,Golding
Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers
How is musician William Lee Conley better known?,Big Bill Broonzy
To ten thousand square miles what it the area of New Mexico?,"121,364 square miles"
How is Joan Molinsky better known?,Joan Rivers
In which branch of the arts is Patricia Neary famous?,Ballet
Which country is Europe's largest silk producer?,Italy
The VS-300 was a type of what?,Helicopter
At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg
Which prince is Queen Elizabeth II's youngest son?,Edward
When did the founder of Jehovah's Witnesses say the world would end?,1914
Who found the remains of the Titanic?,Robert Ballard
What was the profession of Sir David Frost's father?,Clergyman
Who was the only Spice Girl not to have a middle name?,Posh Spice
What are the international registration letters of a vehicle from Algeria?,DZ
How did Jock die in Dallas?,Helicopter accident
"""Who said, """"Anybody wishing to banish theft from the world must cut off the thief's hands?""",Ayatollah Khomeini
"To the nearest 10,000 square miles, what is the area of Arkansas?","53,187"
What star sign is Michael Caine?,Pisces
Who wrote the novel Evening Class?,Maeve Binchy
Which country does the airline Air Pacific come from?,Fiji
In which branch of the arts does Allegra Kent work?,Ballet
What are the international registration letters of a vehicle from Belize?,BH
"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",Bo Donaldson & The Heywoods
Banting and Best pioneered the use of what?,Insulin
Who directed the movie La Dolce Vita?,Federico Fellini
Which country does the airline LACSA come from?,Costa Rica
Who directed 2001: A Space Odyssey?,Stanley Kubrick
Which is the largest of the Japanese Volcano Islands?,Iwo Jima
Ezzard Charles was a world champion in which sport?,Boxing
Who was the first woman to make a solo flight across the Atlantic?,Amelia Earhart
Which port lies between Puget Sound and Lake Washington?,Seattle
In which city were Rotary Clubs set up in 1905?,Chicago
Who became US Vice President when Spiro Agnew resigned?,Gerald Ford
In which decade of the 20th century was Billy Crystal born?,1940s
Which George invented the Kodak roll-film camera?,Eastman
Which series had the characters Felix Unger and Oscar Madison?,The Odd Couple
Who along with Philips developed the CD in the late 70s?,Sony
Where is the multinational Nestle based?,Switzerland
Do You Know Where You're Going To? was the theme from which film?,Mahogany
19969 was the Chinese year of which creature?,Rat
In the 90s how many points have been awarded for finishing second in a Grand Prix?,6
Stapleton international airport is in which US state?,Colorado
What was Kevin Kline's first movie?,Sophie's Choice
Which actor had a Doberman Pinscher called Kirk?,William Shatner
Which country became the first in the world to issue the dreaded parking ticket?,France
What day of the week was the Wall Street Crash?,Thursday
The US signed a treaty with which country to allow the construction of the Panama Canal?,Columbia
What was Prince's last No 1 of the 80s?,Batdance
Man In The Mirror first featured on which Michel Jackson album?,Bad
Where was the first battle with US involvement in the Korean War?,Suwon
On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,Barbuda
In which decade was Arnold Schwarzenegger born?,1950s
Which musical featured the song Thank Heaven for Little Girls?,Gigi
The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,Hong Kong
What breed of dog did Columbo own?,Basset hound
What combined with Metro Pictures and Goldwyn Pictures to form MGM?,Louis B Mayer Company
What was the first movie western called?,Kit Carson
Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,Meryl Streep
Which Amendment to the Constitution brought in prohibition in 1920?,18th
"In Richard Nixon's famous Checkers speech, who or what was Checkers?",His daughter's dog
Which oil scandal hit the US in 1924?,Teapot Dome Scandal
Phil Collins appeared in which Spielberg film with Robin Williams?,Hook
1998 was the Chinese year of which creature?,Tiger
Which country does musician Alfred Brendel come from?,Austria
Theodore Francis international airport is in which US state?,Rhode Island
In which soap did Demi Moore find fame?,General Hospital
"To the nearest million, what is the population of London, England?",7 million
What did Clarice Cliff create?,Pottery
Which James Bond film features a song by Louis Armstrong?,On Her Majesty's Secret Service
In which decade of the 20th century was William Hurt born?,1950s
In what year were US ground troops first dispatched to Vietnam?,1965
In 1999 Anna Kournikova signed a lucrative contract to model what?,Bras
Which member of the Monkees came from Washington DC?,Peter Tork
Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,Lusitania
In what decade were video recorders first developed?,50s
Who had the noels Spy Hook and Spy Line published in the 80s?,Len Deighton
the first credit cards were for use in what type of establishments?,Restaurants
In which country was Ursula Andrews born?,Switzerland
What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,And that's the way it is
Which item of clothing cost Isadora Duncan her life?,Scarf- it was caught in a moving car wheel
Who had a 70s No 1 hit with Let Your Love Flow?,Bellamy Brothers
Which state renewed Mike Tyson's boxing license in 1998?,Nevada
Neil Armstrong was a pilot in which war?,Korean
Which English-born US citizen hosted Masterpiece theater?,Alistair Cooke
Nickelodeon was founded in 1979 by which company?,Warner Amex
